"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 21 22:17:31 GMT 2022","Fri Oct 21 22:17:31 GMT 2022","367","","Traversal","","Traversal",".nextUntil() - get next sibling DOM elements until next el",".nextUntil() - get next sibling DOM elements until next el",""
"passed","Fri Oct 21 22:15:10 GMT 2022","Fri Oct 21 22:15:15 GMT 2022","5322","","Actions","","Actions",".type() - type into a DOM element",".type() - type into a DOM element",""
"passed","Fri Oct 21 22:16:44 GMT 2022","Fri Oct 21 22:16:44 GMT 2022","287","","Misc Cypress.Screenshot","","Misc Cypress.Screenshot","Cypress.Screenshot.defaults() - change default config of screenshots","Cypress.Screenshot.defaults() - change default config of screenshots",""
"passed","Fri Oct 21 22:15:03 GMT 2022","Fri Oct 21 22:15:04 GMT 2022","519","","example to-do app with a checked task","","example to-do app with a checked task","can filter for completed tasks","can filter for completed tasks",""
"passed","Fri Oct 21 22:16:01 GMT 2022","Fri Oct 21 22:16:02 GMT 2022","306","","Connectors .then()","","Connectors .then()","yields the value yielded by the last Cypress command inside","yields the value yielded by the last Cypress command inside",""
"passed","Fri Oct 21 22:16:00 GMT 2022","Fri Oct 21 22:16:00 GMT 2022","275","","Connectors","","Connectors",".spread() - spread an array as individual args to callback function",".spread() - spread an array as individual args to callback function",""
"passed","Fri Oct 21 22:15:51 GMT 2022","Fri Oct 21 22:15:51 GMT 2022","350","","Assertions Explicit Assertions","","Assertions Explicit Assertions","can throw any error","can throw any error",""
"passed","Fri Oct 21 22:15:24 GMT 2022","Fri Oct 21 22:15:24 GMT 2022","709","","Actions","","Actions",".dblclick() - double click on a DOM element",".dblclick() - double click on a DOM element",""
"passed","Fri Oct 21 22:17:29 GMT 2022","Fri Oct 21 22:17:29 GMT 2022","305","","Traversal","","Traversal",".filter() - get DOM elements that match the selector",".filter() - get DOM elements that match the selector",""
"passed","Fri Oct 21 22:15:01 GMT 2022","Fri Oct 21 22:15:02 GMT 2022","796","","example to-do app","","example to-do app","can add new todo items","can add new todo items",""
"passed","Fri Oct 21 22:15:04 GMT 2022","Fri Oct 21 22:15:04 GMT 2022","555","","example to-do app with a checked task","","example to-do app with a checked task","can delete all completed tasks","can delete all completed tasks",""
"passed","Fri Oct 21 22:16:41 GMT 2022","Fri Oct 21 22:16:42 GMT 2022","318","","Misc","","Misc","cy.wrap() - wrap an object","cy.wrap() - wrap an object",""
"passed","Fri Oct 21 22:15:48 GMT 2022","Fri Oct 21 22:15:49 GMT 2022","947","","Assertions Implicit Assertions","","Assertions Implicit Assertions",".should() - make an assertion about the current subject",".should() - make an assertion about the current subject",""
"passed","Fri Oct 21 22:17:21 GMT 2022","Fri Oct 21 22:17:22 GMT 2022","589","","Spies, Stubs, and Clock","","Spies, Stubs, and Clock","cy.tick() - move time in the browser","cy.tick() - move time in the browser",""
"passed","Fri Oct 21 22:15:16 GMT 2022","Fri Oct 21 22:15:17 GMT 2022","968","","Actions","","Actions",".blur() - blur off a DOM element",".blur() - blur off a DOM element",""
"passed","Fri Oct 21 22:16:22 GMT 2022","Fri Oct 21 22:16:22 GMT 2022","883","","Files","","Files","cy.fixture() - load a fixture","cy.fixture() - load a fixture",""
"passed","Fri Oct 21 22:17:34 GMT 2022","Fri Oct 21 22:17:34 GMT 2022","418","","Traversal","","Traversal",".siblings() - get all sibling DOM elements",".siblings() - get all sibling DOM elements",""
"passed","Fri Oct 21 22:16:01 GMT 2022","Fri Oct 21 22:16:01 GMT 2022","286","","Connectors .then()","","Connectors .then()","yields the original subject without return","yields the original subject without return",""
"passed","Fri Oct 21 22:16:34 GMT 2022","Fri Oct 21 22:16:34 GMT 2022","363","","Location","","Location","cy.location() - get window.location","cy.location() - get window.location",""
"passed","Fri Oct 21 22:15:02 GMT 2022","Fri Oct 21 22:15:03 GMT 2022","493","","example to-do app","","example to-do app","can check off an item as completed","can check off an item as completed",""
"passed","Fri Oct 21 22:16:39 GMT 2022","Fri Oct 21 22:16:40 GMT 2022","1029","","Misc","","Misc",".end() - end the command chain",".end() - end the command chain",""
"passed","Fri Oct 21 22:15:00 GMT 2022","Fri Oct 21 22:15:01 GMT 2022","1385","","example to-do app","","example to-do app","displays two todo items by default","displays two todo items by default",""
"passed","Fri Oct 21 22:17:47 GMT 2022","Fri Oct 21 22:17:51 GMT 2022","3743","","Viewport","","Viewport","cy.viewport() - set the viewport size and dimension","cy.viewport() - set the viewport size and dimension",""
"passed","Fri Oct 21 22:17:11 GMT 2022","Fri Oct 21 22:17:12 GMT 2022","271","","Querying","","Querying","cy.root() - query the root DOM element","cy.root() - query the root DOM element",""
"passed","Fri Oct 21 22:16:17 GMT 2022","Fri Oct 21 22:16:17 GMT 2022","261","","Cypress.version","","Cypress.version","Get current version of Cypress being run","Get current version of Cypress being run",""
"passed","Fri Oct 21 22:16:15 GMT 2022","Fri Oct 21 22:16:15 GMT 2022","247","","Cypress.Cookies","","Cypress.Cookies",".defaults() - set defaults for all cookies",".defaults() - set defaults for all cookies",""
"passed","Fri Oct 21 22:17:01 GMT 2022","Fri Oct 21 22:17:03 GMT 2022","1745","","Network Requests","","Network Requests","cy.intercept() - route responses to matching requests","cy.intercept() - route responses to matching requests",""
"passed","Fri Oct 21 22:16:14 GMT 2022","Fri Oct 21 22:16:14 GMT 2022","465","","Cypress.Cookies","","Cypress.Cookies",".debug() - enable or disable debugging",".debug() - enable or disable debugging",""
"passed","Fri Oct 21 22:18:07 GMT 2022","Fri Oct 21 22:18:08 GMT 2022","707","","Window","","Window","cy.window() - get the global window object","cy.window() - get the global window object",""
"passed","Fri Oct 21 22:16:28 GMT 2022","Fri Oct 21 22:16:29 GMT 2022","1442","","Local Storage","","Local Storage","cy.clearLocalStorage() - clear all data in local storage","cy.clearLocalStorage() - clear all data in local storage",""
"passed","Fri Oct 21 22:17:21 GMT 2022","Fri Oct 21 22:17:21 GMT 2022","469","","Spies, Stubs, and Clock","","Spies, Stubs, and Clock","cy.clock() - control time in the browser","cy.clock() - control time in the browser",""
"passed","Fri Oct 21 22:16:40 GMT 2022","Fri Oct 21 22:16:41 GMT 2022","743","","Misc","","Misc","cy.exec() - execute a system command","cy.exec() - execute a system command",""
"passed","Fri Oct 21 22:16:52 GMT 2022","Fri Oct 21 22:16:52 GMT 2022","908","","Navigation","","Navigation","cy.visit() - visit a remote url","cy.visit() - visit a remote url",""
"passed","Fri Oct 21 22:16:07 GMT 2022","Fri Oct 21 22:16:08 GMT 2022","389","","Cookies","","Cookies","cy.clearCookie() - clear a browser cookie","cy.clearCookie() - clear a browser cookie",""
"passed","Fri Oct 21 22:17:56 GMT 2022","Fri Oct 21 22:18:01 GMT 2022","5541","","Waiting","","Waiting","cy.wait() - wait for a specific amount of time","cy.wait() - wait for a specific amount of time",""
"passed","Fri Oct 21 22:18:01 GMT 2022","Fri Oct 21 22:18:02 GMT 2022","686","","Waiting","","Waiting","cy.wait() - wait for a specific route","cy.wait() - wait for a specific route",""
"passed","Fri Oct 21 22:16:41 GMT 2022","Fri Oct 21 22:16:41 GMT 2022","642","","Misc","","Misc","cy.focused() - get the DOM element that has focus","cy.focused() - get the DOM element that has focus",""
"passed","Fri Oct 21 22:17:08 GMT 2022","Fri Oct 21 22:17:10 GMT 2022","2471","","Querying","","Querying","cy.get() - query DOM elements","cy.get() - query DOM elements",""
"passed","Fri Oct 21 22:16:51 GMT 2022","Fri Oct 21 22:16:52 GMT 2022","1005","","Navigation","","Navigation","cy.reload() - reload the page","cy.reload() - reload the page",""
"passed","Fri Oct 21 22:17:32 GMT 2022","Fri Oct 21 22:17:32 GMT 2022","307","","Traversal","","Traversal",".parent() - get parent DOM element from DOM elements",".parent() - get parent DOM element from DOM elements",""
"passed","Fri Oct 21 22:17:30 GMT 2022","Fri Oct 21 22:17:30 GMT 2022","349","","Traversal","","Traversal",".last() - get last DOM element",".last() - get last DOM element",""
"passed","Fri Oct 21 22:16:01 GMT 2022","Fri Oct 21 22:16:01 GMT 2022","304","","Connectors .then()","","Connectors .then()","yields the returned value to the next command","yields the returned value to the next command",""
"passed","Fri Oct 21 22:17:31 GMT 2022","Fri Oct 21 22:17:31 GMT 2022","322","","Traversal","","Traversal",".nextAll() - get all next sibling DOM elements",".nextAll() - get all next sibling DOM elements",""
"passed","Fri Oct 21 22:16:42 GMT 2022","Fri Oct 21 22:16:44 GMT 2022","2121","","Misc Cypress.Screenshot","","Misc Cypress.Screenshot","cy.screenshot() - take a screenshot","cy.screenshot() - take a screenshot",""
"passed","Fri Oct 21 22:16:07 GMT 2022","Fri Oct 21 22:16:07 GMT 2022","512","","Cookies","","Cookies","cy.getCookies() - get browser cookies","cy.getCookies() - get browser cookies",""
"passed","Fri Oct 21 22:15:18 GMT 2022","Fri Oct 21 22:15:19 GMT 2022","922","","Actions","","Actions",".submit() - submit a form",".submit() - submit a form",""
"passed","Fri Oct 21 22:16:16 GMT 2022","Fri Oct 21 22:16:17 GMT 2022","273","","Cypress.platform","","Cypress.platform","Get underlying OS name","Get underlying OS name",""
"passed","Fri Oct 21 22:17:32 GMT 2022","Fri Oct 21 22:17:32 GMT 2022","338","","Traversal","","Traversal",".parents() - get parent DOM elements from DOM elements",".parents() - get parent DOM elements from DOM elements",""
"passed","Fri Oct 21 22:15:28 GMT 2022","Fri Oct 21 22:15:30 GMT 2022","1714","","Actions","","Actions",".select() - select an option in a <select> element",".select() - select an option in a <select> element",""
"passed","Fri Oct 21 22:16:15 GMT 2022","Fri Oct 21 22:16:15 GMT 2022","232","","Cypress.dom","","Cypress.dom",".isHidden() - determine if a DOM element is hidden",".isHidden() - determine if a DOM element is hidden",""
"passed","Fri Oct 21 22:17:21 GMT 2022","Fri Oct 21 22:17:21 GMT 2022","261","","Spies, Stubs, and Clock","","Spies, Stubs, and Clock","cy.stub() - create a stub and/or replace a function with stub","cy.stub() - create a stub and/or replace a function with stub",""
